Cavity,Gradient,JT Valve Position,Start,End,Reference Heat Load (Des),Reference Heat Load (Act),MySampler Time Interval
4,16,23.1,8/12/19 16:56:37,8/12/19 17:58:00,40,40.67,1
1,16,34,4/1/19 18:12:00,4/1/19 18:52:00,80,80,1
1,16,34,4/1/19 18:12:00,4/1/19 18:52:00,80,80,5
2,16,24.5,4/2/19 12:14:00,4/2/19 12:54:00,64,64,1
2,16,24.5,4/2/19 12:14:00,4/2/19 12:54:00,64,64,5
4,16,24.5,4/2/19 13:40:00,4/2/19 14:20:00,64,64,1
4,16,24.5,4/2/19 13:40:00,4/2/19 14:20:00,64,64,5
5,15,24.5,4/2/19 16:19:00,4/2/19 16:59:00,64,64,1
5,15,24.5,4/2/19 16:19:00,4/2/19 16:59:00,64,64,5
6,6.2,24.5,4/2/19 17:38:00,4/2/19 18:18:00,64,64,1
6,6.2,24.5,4/2/19 17:38:00,4/2/19 18:18:00,64,64,5
7,16,24.5,4/2/19 18:27:00,4/2/19 19:07:00,64,64,1
7,16,24.5,4/2/19 18:27:00,4/2/19 19:07:00,64,64,5
8,15,24.5,4/2/19 20:02:00,4/2/19 20:42:00,64,64,1
8,15,24.5,4/2/19 20:02:00,4/2/19 20:42:00,64,64,5
3,16,24.5,4/2/19 21:07:00,4/2/19 21:47:00,64,64,1
3,16,24.5,4/2/19 21:07:00,4/2/19 21:47:00,64,64,5
1,16,24.1,4/3/19 22:24:00,4/3/19 23:54:00,64,64,1
1,16,24.1,4/3/19 22:24:00,4/3/19 23:54:00,64,64,5
3,16,24.8,4/4/19 12:03:00,4/4/19 13:33:00,64,64,1
3,16,24.8,4/4/19 12:03:00,4/4/19 13:33:00,64,64,5
2,16,24.8,4/4/19 17:34:00,4/4/19 19:04:00,64,64,1
2,16,24.8,4/4/19 17:34:00,4/4/19 19:04:00,64,64,5
4,16,24.8,4/4/19 19:09:00,4/4/19 20:39:00,64,64,1
4,16,24.8,4/4/19 19:09:00,4/4/19 20:39:00,64,64,5
5,15,24.8,4/4/19 20:50:00,4/4/19 22:20:00,64,64,1
5,15,24.8,4/4/19 20:50:00,4/4/19 22:20:00,64,64,5
7,16,24.8,4/4/19 22:25:00,4/4/19 23:55:00,64,64,1
7,16,24.8,4/4/19 22:25:00,4/4/19 23:55:00,64,64,5
4,16.0,23.1,08/12/19 18:18:16,08/12/19 19:13:58,40.0,40.9191,1
4,18.0,23.1,08/12/19 19:32:41,08/12/19 20:24:44,40.0,40.9191,1
4,18.0,23.1,08/12/19 20:42:15,08/12/19 21:29:58,40.0,40.9191,1
4,20.0,23.1,08/12/19 21:47:47,08/12/19 22:33:06,40.0,40.9191,1
4,20.0,23.1,08/12/19 22:48:17,08/12/19 23:33:11,40.0,40.9191,1
1,19.9,24.3,08/16/19 10:44:33,08/16/19 11:30:35,48.0,46.972490000000001,1
1,16.0,20.8,08/29/19 19:12:13,08/29/19 20:37:49,36.0,36.968799999999995,1
2,16.0,20.8,08/29/19 20:55:35,08/29/19 21:52:44,36.0,36.968799999999995,1
3,16.0,20.8,08/29/19 22:16:19,08/29/19 23:16:17,36.0,36.968799999999995,1
4,16.0,22.5,08/30/19 11:03:40,08/30/19 12:02:13,40.0,40.947859999999991,1
5,16.0,22.5,08/30/19 12:25:35,08/30/19 13:14:30,40.0,40.947859999999991,1
6,8.0,22.5,08/30/19 15:01:09,08/30/19 16:27:26,40.0,40.947859999999991,1
7,16.0,22.5,08/30/19 16:52:22,08/30/19 17:46:11,40.0,40.947859999999991,1
8,16.0,22.5,08/30/19 18:02:17,08/30/19 18:51:34,40.0,40.947859999999991,1
